source_row,article_title,image_filename,batch,status,notes
350,"10 Best Virtual Eligibility Specialist Companies (2026)",10-best-virtual-eligibility-specialist-companies-2026.webp,batch-070,success,
351,"10 Best Virtual Payment Posting Specialist Companies (2026)",10-best-virtual-payment-posting-specialist-companies-2026.webp,batch-070,success,
352,"7 Best Allergy and Immunology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-116
353,"7 Best Anesthesiology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-117
354,"7 Best Bariatric Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-118
355,"9 Best Behavioral Health Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-119
356,"13 Best Cardiology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-120
357,"7 Best Chiropractic Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-121
358,"9 Best Dermatology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-122
359,"7 Best ENT Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-123
360,"7 Best Endocrinology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-124
361,"9 Best Family Medicine Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-125
362,"7 Best Fertility Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-126
363,"7 Best Gastroenterology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-127
364,"7 Best Geriatrics Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-128
365,"9 Best Internal Medicine Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-129
366,"7 Best Med Spa Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-130
367,"7 Best Nephrology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-131
368,"7 Best Neurology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-132
374,"13 Best Orthopedics Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-138
375,"7 Best Pain Management Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-139
376,"9 Best Pediatrics Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-140
377,"7 Best Physical Therapy Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-141
378,"13 Best Plastic Surgery Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-142
379,"7 Best Podiatry Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-143
380,"9 Best Psychiatry Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-144
381,"7 Best Pulmonology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-145
382,"7 Best Radiology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-146
383,"7 Best Rheumatology Virtual Medical Assistant Companies (2026)",,batch-070,skipped-duplicate,duplicate-of-row-147
389,"10 Best Virtual Dental Scribe Companies (2026)",10-best-virtual-dental-scribe-companies-2026.webp,batch-070,success,
390,"10 Best Veterinary Billing Virtual Assistant Companies (2026)",10-best-veterinary-billing-virtual-assistant-companies-2026.webp,batch-070,success,
391,"10 Best Virtual Veterinary Technician Companies (2026)",10-best-virtual-veterinary-technician-companies-2026.webp,batch-070,success,
